CampaignID,CampaignName,StartDate,EndDate,Channel,Impressions,Clicks,Conversions,Spend,ConversionValue
1,network,2024-05-30,2024-10-06,Email,5100,2748,383,46878.46,8672.16
2,turn,2024-08-20,2024-02-10,Social Media,17415,5770,1423,15800.95,9967.01
3,collection,2024-04-12,2024-05-08,TV,76568,54625,13346,7472.72,6736.06
4,beautiful,2024-02-14,2024-06-27,TV,45863,26974,10001,22506.84,807.44
5,similar,2024-07-29,2024-08-28,Social Media,22267,13012,5206,21169.83,6149.92
6,indeed,2024-01-31,2024-08-26,TV,73759,60079,15899,8297.78,6353.71
7,where,2024-05-22,2024-03-11,Social Media,2497,775,249,49655.91,6552.16
8,five,2024-07-06,2024-08-07,Email,23200,8642,3275,40984.32,7403.52
9,tell,2024-05-05,2024-10-05,TV,19274,9994,3700,36657.51,757.58
10,less,2024-09-30,2024-03-10,Email,69762,54656,6276,23678.92,1112.58
11,know,2024-04-04,2024-05-25,Social Media,86608,50022,18321,42224.62,4770.46
12,forward,2024-09-20,2024-03-18,Social Media,43060,30226,10661,26490.44,9572.73
13,many,2024-07-17,2024-02-21,Social Media,17811,4078,646,31255.5,3366.54
14,almost,2024-04-27,2024-09-23,Social Media,96011,53306,7476,14993.78,4721.32
15,stock,2024-02-26,2024-04-03,TV,39715,32171,9864,48033.05,6448.26
16,certain,2024-01-30,2024-02-12,Email,47314,33595,15030,42189.32,3938.52
17,action,2024-04-08,2024-01-22,Social Media,69053,56803,12244,43122.15,2216.35
18,federal,2024-05-29,2024-07-26,Social Media,21858,17496,5207,7052.55,5537.19
19,establish,2024-06-03,2024-05-16,Email,36611,7817,3732,9694.4,7673.18
20,even,2024-06-03,2024-02-28,Email,15710,10885,1368,37542.76,6837.62
21,quickly,2024-07-24,2024-02-04,Social Media,30664,12827,3999,24264.51,8628.79
22,fill,2024-05-11,2024-05-18,TV,1202,607,215,48082.88,5979.53
23,wind,2024-01-12,2024-05-28,Social Media,46251,19008,4916,37826.07,4988.21
24,land,2024-06-03,2024-08-19,TV,38932,16138,6832,18050.4,2110.22
25,once,2024-02-16,2024-05-23,Email,14581,12867,1938,6637.41,9100.47
26,both,2024-04-26,2024-04-18,TV,29468,17695,7984,37705.43,7350.26
27,turn,2024-09-22,2024-06-02,TV,42089,16062,1802,48714.96,1158.06
28,live,2024-04-13,2024-02-23,Email,56247,14996,5227,36199.06,8689.13
29,level,2024-07-28,2024-01-21,Social Media,83837,51457,17611,36261.17,789.9
30,idea,2024-07-06,2024-08-23,Email,17496,13966,3348,27603.42,4619.27
31,end,2024-05-09,2024-08-26,Email,74666,55458,14786,44576.43,3410.48
32,no,2024-06-30,2024-09-23,Social Media,90613,79303,9353,47618.83,9029.88
33,paper,2024-08-01,2024-06-30,Social Media,16560,13296,5144,20727.05,8192.3
34,total,2024-07-17,2024-09-29,Social Media,5585,2868,1350,4643.61,1664.93
35,north,2024-01-01,2024-04-08,Email,5065,4263,1455,20250.07,2845.59
36,around,2024-05-27,2024-01-28,Social Media,54180,37143,6108,12147.87,754.06
37,debate,2024-04-27,2024-04-25,Social Media,85940,24114,7338,16722.98,4581.76
38,significant,2024-08-23,2024-06-11,TV,37409,11982,5614,22713.27,8571.83
39,interview,2024-02-26,2024-01-30,Email,74243,20573,2153,3168.9,1334.38
40,she,2024-02-18,2024-05-10,Social Media,80964,55048,9395,47050.93,8839.11
41,old,2024-04-28,2024-05-23,TV,2836,1358,207,11081.04,5303.8
42,foot,2024-08-29,2024-07-20,TV,56680,46758,6324,40358.52,6127.87
43,ability,2024-01-08,2024-05-03,Email,66218,23836,11132,8157.55,1707.55
44,force,2024-03-20,2024-02-11,TV,63687,13824,6743,16892.8,4277.72
45,drug,2024-04-21,2024-10-06,Email,79080,51872,22677,8958.27,2618.48
46,including,2024-09-17,2024-04-17,TV,34040,12162,4395,17774.43,8585.94
47,strong,2024-02-06,2024-05-03,Social Media,26784,16893,7023,39738.3,106.64
48,deep,2024-04-13,2024-04-16,Social Media,30038,22714,4109,12037.93,9308.59
49,cup,2024-05-07,2024-09-24,TV,8756,2355,656,43736.07,8479.55
50,nothing,2024-05-21,2024-04-14,Email,36299,26952,12108,39007.27,9161.53
51,question,2024-03-22,2024-05-22,TV,40877,17013,3532,35537.05,3974.4
52,machine,2024-03-17,2024-01-07,Social Media,1367,309,83,13482.17,4586.59
53,professional,2024-09-23,2024-05-06,Social Media,38500,8582,3101,29198.52,2618.32
54,young,2024-03-24,2024-05-25,Email,24443,6485,2331,28777.6,1778.9
55,bit,2024-02-13,2024-02-01,Email,99216,19987,8156,14406.15,5071.08
56,no,2024-04-13,2024-06-12,Email,53207,31406,6123,11801.79,1647.53
57,attention,2024-09-17,2024-04-29,Social Media,24628,8705,1266,32722.38,6998.13
58,win,2024-04-08,2024-02-06,Email,22826,17362,7597,14859.86,4391.3
59,property,2024-03-14,2024-10-03,Social Media,82267,35940,6502,20199.1,7870.52
60,truth,2024-08-10,2024-09-02,Social Media,48486,10882,2382,7596.97,5953.22
61,better,2024-10-03,2024-03-10,Social Media,45320,30629,13039,34001.17,6756.08
62,already,2024-08-05,2024-06-18,Social Media,95023,24853,11353,16991.87,1879.65
63,rest,2024-03-15,2024-05-12,TV,94385,20589,2971,34759.51,2206.89
64,still,2024-02-18,2024-07-26,Social Media,87779,34455,14398,41451.39,6512.48
65,though,2024-05-27,2024-05-22,Social Media,75761,60891,13569,21490.75,9612.63
66,produce,2024-09-14,2024-01-25,Social Media,35914,9811,1576,23167.92,9157.31
67,white,2024-08-22,2024-01-27,Social Media,80122,60529,7970,29758.8,6945.82
68,brother,2024-06-06,2024-06-18,TV,27204,20834,6072,10670.41,299.69
69,visit,2024-04-15,2024-03-24,TV,66386,52109,19639,26914.34,5241.84
70,night,2024-08-23,2024-02-07,TV,28807,9018,1054,4129.06,233.52
71,talk,2024-02-05,2024-03-02,Email,58590,25620,7014,1032.79,9694.75
72,beat,2024-08-02,2024-09-03,Social Media,60027,12936,3403,46798.86,8329.46
73,our,2024-06-10,2024-03-16,TV,64407,21067,3178,11722.06,4546.22
74,occur,2024-06-01,2024-06-06,Social Media,14059,5839,1626,23727.51,9594.3
75,professional,2024-01-15,2024-05-09,Social Media,38850,20700,4396,14469.44,3252.31
76,able,2024-02-24,2024-07-16,TV,44456,17064,5055,35639.19,3397.41
77,Congress,2024-08-13,2024-07-28,TV,25169,12944,1342,29944.25,1988.03
78,thing,2024-03-19,2024-03-02,TV,72836,35482,14474,36379.43,3168.49
79,suffer,2024-05-17,2024-08-07,TV,91534,56009,24237,11236.48,3475.13
80,door,2024-08-28,2024-01-06,TV,55622,49198,7423,4617.88,8449.27
81,skill,2024-02-28,2024-08-05,TV,86188,72290,13456,40894.86,424.27
82,range,2024-02-02,2024-07-17,Social Media,99738,82990,39905,8899.4,8270.3
83,position,2024-05-19,2024-05-14,TV,59493,14239,7015,41683.41,2546.96
84,front,2024-02-29,2024-09-05,Social Media,15084,7840,2478,40407.28,7967.27
85,husband,2024-04-06,2024-06-15,TV,41539,15289,4449,28719.59,978.3
86,black,2024-05-02,2024-07-13,Social Media,11353,5864,2412,16389.27,4851.18
87,because,2024-03-05,2024-04-26,Social Media,87508,41598,17411,35450.11,589.31
88,Democrat,2024-06-19,2024-01-25,Social Media,14498,11458,3839,13067.47,8091.25
89,lay,2024-10-03,2024-03-09,TV,29546,26358,3978,37319.23,4122.97
90,environment,2024-09-13,2024-04-17,Social Media,1963,922,437,15753.93,9215.15
91,right,2024-01-15,2024-03-07,TV,67891,42354,19692,46217.16,9582.55
92,quality,2024-09-09,2024-08-01,Social Media,81511,30061,9507,3703.9,116.75
93,how,2024-08-26,2024-02-03,Email,43130,9609,1165,49605.6,9629.52
94,stuff,2024-06-03,2024-05-31,Email,58294,33813,12816,26383.93,7979.64
95,benefit,2024-04-14,2024-09-16,Social Media,55142,20674,5977,31376.73,5858.49
96,skill,2024-07-05,2024-02-04,Email,28122,9958,4414,20764.98,2233.29
97,southern,2024-04-28,2024-06-06,Social Media,50957,41111,16955,25629.01,5534.53
98,check,2024-09-21,2024-09-16,Email,65640,28342,10134,30234.78,438.7
99,fund,2024-03-26,2024-07-15,Social Media,24658,16311,6024,19213.01,1638.31
100,value,2024-09-28,2024-05-06,Email,19097,8864,3082,28160.02,8808.25
101,business,2024-09-02,2024-09-25,TV,53079,21566,4196,4230.12,1941.55
102,hour,2024-08-06,2024-04-16,TV,78296,17558,8420,7705.79,3196.84
103,back,2024-03-23,2024-10-04,Email,17369,4035,883,36266.82,4160.81
104,lawyer,2024-02-04,2024-09-03,TV,13542,9378,3185,14173.64,1466.48
105,road,2024-09-03,2024-08-20,Email,5907,2792,323,5205.43,7786.37
106,toward,2024-09-27,2024-03-31,TV,9951,6480,895,41387.7,5128.34
107,page,2024-08-23,2024-03-16,Email,24200,17309,5851,11706.5,1883.98
108,happen,2024-07-27,2024-02-29,Email,50414,35611,5903,19050.14,9670.76
109,your,2024-04-27,2024-01-19,Email,30424,15180,7292,10516.66,4825.94
110,reflect,2024-08-25,2024-01-25,Social Media,92761,53227,20770,13954.79,1358.64
111,though,2024-05-21,2024-09-22,Email,79157,30255,14488,29108.05,5293.68
112,car,2024-02-26,2024-04-08,TV,53126,28404,7635,43728.45,7363.68
113,prepare,2024-06-29,2024-08-24,Social Media,48702,24441,2820,38194.55,3657.57
114,really,2024-05-03,2024-02-13,Email,65559,18208,3023,4537.78,1726.39
115,despite,2024-05-30,2024-02-20,Email,19121,15774,5258,26854.07,3887.28
116,material,2024-01-06,2024-02-12,TV,46980,14921,3622,15046.32,3494.91
117,career,2024-01-19,2024-09-19,TV,17961,15673,4188,36169.74,3042.01
118,group,2024-01-28,2024-03-17,Social Media,60827,13465,5072,49938.25,5329.17
119,ten,2024-05-25,2024-08-14,Email,34983,17769,3009,18529.36,8238.54
120,the,2024-09-27,2024-07-17,Social Media,99467,79092,30658,12266.86,3888.41
121,director,2024-07-23,2024-08-12,Email,72087,39143,6638,14020.94,110.3
122,particularly,2024-02-26,2024-05-27,Email,1204,507,71,15626.43,4013.04
123,trip,2024-04-30,2024-06-30,TV,90847,19541,2173,41467.32,6496.61
