Order_Item_ID,Order_ID,Product_ID,Quantity,Price_INR,Discount_INR,Total_Amount_INR,Order_Item_Date,Category_ID,Subcategory_ID,Store_ID,Supplier_ID,Offer_ID
1,945,166,2,1717.36,2.5,3432.22,2024-03-18,8,15,86,15,6.0
2,508,135,1,1515.88,64.11,1451.7700000000002,2024-09-02,4,49,27,46,
3,281,36,1,2141.42,273.08,1868.3400000000001,2024-05-22,3,21,47,31,10.0
4,1065,223,1,4684.69,71.48,4613.21,2024-07-02,6,4,90,21,16.0
5,86,20,2,2509.46,142.26,4876.66,2024-07-21,7,46,40,47,
6,55,281,4,4862.42,11.1,19438.58,2024-02-09,7,37,85,40,
7,814,6,5,1909.18,423.38,9122.52,2024-03-24,8,29,82,18,
8,683,119,4,2007.21,273.03,7755.81,2024-09-08,3,30,1,15,7.0
9,222,38,4,3541.15,210.96,13953.640000000001,2024-03-05,10,5,67,10,8.0
10,771,276,5,4502.84,31.81,22482.39,2024-04-09,5,26,52,9,
11,445,212,1,1164.4,380.98,783.4200000000001,2024-08-26,5,38,28,30,18.0
12,422,103,1,1420.93,153.46,1267.47,2024-05-09,10,5,58,28,
13,524,58,3,2507.74,429.69,7093.53,2024-04-07,4,7,1,38,
14,680,144,1,1018.76,137.4,881.36,2024-06-10,2,9,17,24,14.0
15,755,110,3,3251.5,128.35,9626.15,2024-08-25,5,7,49,48,
16,601,281,4,781.99,337.02,2790.94,2024-02-29,10,50,88,30,6.0
17,871,153,3,2297.9,387.27,6506.43,2024-05-20,4,50,42,27,
18,1043,192,1,3771.34,349.15,3422.19,2024-05-10,5,46,87,30,4.0
19,1176,250,4,4891.61,283.15,19283.289999999997,2024-05-23,1,44,7,29,13.0
20,312,105,3,509.2,374.07,1153.53,2024-09-13,5,7,46,12,14.0
21,699,265,1,4089.89,48.19,4041.7,2024-02-02,7,29,34,34,11.0
22,395,57,3,3976.54,498.65,11430.97,2024-07-19,4,42,30,11,
23,492,246,5,3408.4,489.74,16552.26,2024-06-14,3,50,71,33,
24,1098,230,3,1713.29,351.6,4788.2699999999995,2024-01-13,10,28,93,12,
25,1192,57,5,3120.11,287.26,15313.29,2024-02-14,10,10,86,36,8.0
26,252,86,1,3439.5,419.97,3019.5299999999997,2024-08-21,6,35,14,4,
27,1134,266,3,4518.06,466.03,13088.15,2024-09-17,9,29,55,26,9.0
28,743,235,3,277.86,471.02,362.56000000000006,2024-06-01,7,44,100,42,
29,61,248,4,545.14,184.32,1996.24,2024-07-01,7,12,88,7,
30,242,159,5,3586.24,177.3,17753.899999999998,2024-08-02,6,36,66,31,17.0
31,726,3,5,2380.19,119.35,11781.6,2024-01-16,3,41,85,43,2.0
32,213,32,3,1940.7,36.75,5785.35,2024-01-24,7,48,63,28,
33,83,286,1,1742.77,81.39,1661.3799999999999,2024-06-03,6,26,61,43,14.0
34,560,86,4,4964.03,411.52,19444.6,2024-08-28,10,35,38,16,16.0
35,1187,106,5,757.7,333.08,3455.42,2024-07-17,10,17,63,6,
36,536,48,5,2613.56,241.23,12826.57,2024-04-18,9,5,53,47,
37,330,193,3,3769.55,103.21,11205.440000000002,2024-03-30,2,20,12,34,
38,595,207,2,4451.61,297.68,8605.539999999999,2024-03-22,1,23,61,42,9.0
39,623,71,2,449.2,367.38,531.02,2024-05-31,10,46,26,40,
40,1107,52,4,3301.99,69.36,13138.599999999999,2024-03-29,1,36,80,44,4.0
41,154,68,5,3245.64,142.61,16085.589999999998,2024-01-05,3,2,100,20,
42,425,246,5,2475.39,350.4,12026.55,2024-08-03,3,5,34,34,4.0
43,699,132,4,2556.15,60.38,10164.220000000001,2024-05-16,3,18,5,20,
44,939,231,5,987.82,341.13,4597.97,2024-09-07,7,47,88,43,
45,286,295,5,419.12,99.41,1996.1899999999998,2024-03-02,1,40,34,27,
46,700,207,3,1774.77,171.55,5152.759999999999,2024-10-03,2,30,82,23,
47,233,251,4,4851.91,55.5,19352.14,2024-09-30,5,10,98,1,2.0
48,1028,193,4,1036.73,224.67,3922.25,2024-07-23,1,20,97,21,
49,1018,101,3,2534.59,341.2,7262.570000000001,2024-05-23,9,10,55,45,
50,808,96,1,140.39,239.58,-99.19000000000003,2024-03-16,6,12,93,7,18.0
51,1048,295,2,2720.5,433.74,5007.26,2024-08-07,8,12,63,16,
52,167,118,1,419.36,174.85,244.51000000000002,2024-01-06,9,28,93,20,
53,1072,244,4,752.28,229.19,2779.93,2024-03-20,5,48,12,30,
54,1046,6,2,3882.98,270.04,7495.92,2024-08-24,6,31,66,17,3.0
55,616,62,4,371.47,360.42,1125.46,2024-09-22,6,46,42,21,4.0
56,491,46,4,1278.11,61.11,5051.33,2024-01-05,7,50,99,43,19.0
57,405,253,1,3665.53,231.37,3434.1600000000003,2024-02-02,8,43,2,24,4.0
58,883,94,4,4594.11,341.14,18035.3,2024-07-26,9,8,22,25,
59,849,29,4,778.72,406.14,2708.7400000000002,2024-01-26,8,1,69,9,20.0
60,981,30,1,2825.51,492.6,2332.9100000000003,2024-06-11,9,38,86,4,
61,1069,92,5,1741.71,131.0,8577.55,2024-09-11,10,22,11,2,10.0
62,44,174,1,220.07,232.65,-12.580000000000013,2024-09-09,8,43,94,37,
63,436,47,4,312.38,430.59,818.9300000000001,2024-02-06,9,19,84,3,5.0
64,797,278,3,4866.29,77.19,14521.679999999998,2024-06-22,6,14,100,45,
65,906,155,5,4490.49,454.47,21997.979999999996,2024-02-12,6,4,19,5,
66,713,151,2,4918.86,211.07,9626.65,2024-05-12,6,20,56,33,14.0
67,1051,128,2,2543.06,63.63,5022.49,2024-07-07,2,22,4,36,
68,377,129,2,4699.75,28.63,9370.87,2024-08-12,5,14,8,44,
69,278,145,5,1276.8,451.1,5932.9,2024-06-10,4,26,41,46,13.0
70,500,109,1,1549.11,236.31,1312.8,2024-10-05,2,23,20,36,
71,152,157,5,3029.05,303.93,14841.32,2024-08-15,9,23,3,39,10.0
72,905,94,3,3812.41,131.79,11305.439999999999,2024-06-26,4,23,49,1,
73,1163,147,5,4852.49,228.42,24034.03,2024-10-05,8,12,35,30,
74,385,74,4,840.05,109.05,3251.1499999999996,2024-05-07,8,27,68,41,
75,334,120,4,3214.19,482.33,12374.43,2024-08-11,8,28,90,20,
76,324,48,3,246.86,284.02,456.56000000000006,2024-06-25,10,22,44,4,19.0
77,284,216,1,3326.56,92.78,3233.7799999999997,2024-05-31,6,23,85,50,19.0
78,478,151,3,3906.36,38.97,11680.11,2024-08-09,7,38,93,43,
79,481,263,4,4488.47,366.56,17587.32,2024-03-09,2,6,56,25,
80,714,53,4,1918.97,125.36,7550.52,2024-09-09,10,37,14,29,19.0
81,15,42,1,171.92,380.71,-208.79,2024-07-28,7,47,61,26,2.0
82,1056,267,3,4400.78,53.51,13148.83,2024-09-22,3,23,27,17,3.0
83,197,136,2,3442.11,381.25,6502.97,2024-03-17,2,45,75,1,4.0
84,680,47,1,2999.56,273.53,2726.0299999999997,2024-07-24,8,27,90,26,2.0
85,708,260,4,198.56,73.1,721.14,2024-04-05,10,37,78,50,
86,335,6,1,1096.04,269.65,826.39,2024-03-05,4,26,59,33,
87,30,82,3,4404.45,332.82,12880.529999999999,2024-02-09,6,48,72,3,12.0
88,121,28,2,161.82,70.62,253.01999999999998,2024-08-30,2,7,61,40,12.0
89,587,77,1,2310.06,424.43,1885.6299999999999,2024-02-09,3,41,84,38,
90,1143,166,1,873.63,431.91,441.71999999999997,2024-07-13,2,2,95,18,9.0
91,987,70,2,3736.9,110.42,7363.38,2024-07-25,1,9,37,44,17.0
92,254,200,3,1172.47,452.15,3065.2599999999998,2024-01-11,9,15,95,42,
93,24,52,5,4291.75,424.6,21034.15,2024-07-06,5,18,22,24,10.0
94,1161,29,5,4184.71,404.22,20519.329999999998,2024-09-23,10,44,72,39,
95,100,227,4,397.46,498.55,1091.29,2024-09-22,4,50,13,10,
96,275,56,2,692.43,305.32,1079.54,2024-09-11,2,15,75,18,4.0
97,350,116,2,1655.05,324.47,2985.63,2024-09-17,1,32,57,42,
98,1007,9,1,3042.05,390.74,2651.3100000000004,2024-08-01,4,33,75,49,10.0
99,352,74,2,1714.86,67.14,3362.58,2024-09-16,3,20,60,12,18.0
100,101,106,3,700.32,38.16,2062.8,2024-01-06,1,21,81,7,9.0
101,638,123,1,4438.0,491.32,3946.68,2024-06-11,3,23,48,6,5.0
102,771,72,3,2960.11,142.08,8738.25,2024-04-16,8,26,8,38,9.0
103,1174,92,1,4369.26,390.36,3978.9,2024-06-22,10,7,58,31,
104,748,275,4,2899.76,85.26,11513.78,2024-10-06,7,32,72,8,
105,1034,294,2,3559.67,183.61,6935.7300000000005,2024-07-27,7,43,6,38,17.0
106,564,112,3,1166.22,308.82,3189.8399999999997,2024-03-27,1,35,65,38,
107,310,141,5,2006.22,15.04,10016.06,2024-07-22,2,21,25,37,
108,202,77,4,515.33,15.5,2045.8200000000002,2024-04-27,8,24,51,24,16.0
109,618,206,4,3332.87,239.98,13091.5,2024-07-09,7,36,20,12,
110,828,72,5,1714.93,343.18,8231.47,2024-03-14,2,49,54,34,
111,113,98,1,3754.62,234.49,3520.13,2024-02-25,5,10,84,46,1.0
112,1193,170,3,3629.02,468.33,10418.73,2024-06-09,9,42,30,4,
113,171,159,4,459.01,246.38,1589.6599999999999,2024-05-12,5,43,93,35,
114,174,272,2,378.5,221.2,535.8,2024-05-16,7,47,66,24,18.0
115,13,213,1,3557.65,60.21,3497.44,2024-01-19,10,50,34,46,
116,274,55,3,1417.34,468.83,3783.1899999999996,2024-07-28,2,48,90,26,
117,166,76,1,376.17,165.96,210.21,2024-05-29,6,43,58,16,9.0
118,318,262,2,425.08,95.99,754.17,2024-09-15,9,46,33,3,20.0
119,1045,279,2,158.24,338.48,-22.0,2024-03-29,1,33,57,7,
120,704,192,4,1395.09,106.65,5473.71,2024-04-17,8,48,62,36,
121,482,179,5,4760.6,324.04,23478.96,2024-06-23,1,15,87,2,
122,940,259,5,4571.58,98.09,22759.81,2024-09-29,10,6,76,50,19.0
123,872,136,3,1476.38,49.41,4379.7300000000005,2024-03-05,3,13,85,43,4.0
124,591,169,2,2840.88,461.99,5219.77,2024-06-14,10,28,77,22,10.0
125,4,35,1,2720.27,175.55,2544.72,2024-04-24,1,10,57,32,
126,522,238,2,4109.65,475.74,7743.5599999999995,2024-03-06,7,29,34,25,
127,1026,205,4,710.28,24.67,2816.45,2024-04-05,9,34,82,14,10.0
128,641,75,1,4780.04,355.92,4424.12,2024-08-07,7,29,52,28,18.0
129,1032,85,2,449.19,420.13,478.25,2024-04-24,5,27,57,29,18.0
130,1173,274,5,1402.82,243.56,6770.539999999999,2024-07-23,4,45,46,2,12.0
131,1152,280,3,1955.88,35.04,5832.6,2024-09-09,8,11,47,6,1.0
132,833,149,5,174.87,308.85,565.5,2024-03-15,7,39,77,40,5.0
133,1110,120,2,1894.84,237.51,3552.17,2024-06-25,1,30,23,27,17.0
134,966,171,5,2211.23,300.1,10756.05,2024-06-28,10,4,2,17,
135,464,50,4,4411.86,148.13,17499.309999999998,2024-01-11,10,23,49,21,19.0
136,1006,74,3,2579.8,294.45,7444.950000000001,2024-02-02,3,36,49,18,
137,1151,169,5,1531.09,171.63,7483.82,2024-01-03,2,41,42,38,
138,811,58,1,1172.17,154.61,1017.5600000000001,2024-02-05,9,42,4,25,
139,575,230,3,1690.86,427.02,4645.5599999999995,2024-03-09,9,1,22,3,
140,824,239,3,3711.6,115.0,11019.8,2024-07-07,10,30,4,27,
141,386,107,4,880.81,47.36,3475.8799999999997,2024-05-02,1,41,86,14,
