order_Id,Order_number,User_id,Total_amount,Discount_amount,Gross_amount,Shipping_amount,Net_amount,Order_date,Delivery_date,Status,Payment_status,Payment_type,Payment_transaction_id
1,07be09cd-ae95-4007-8b6e-65d6a5646397,88,1514.25,736.06,8568.69,343.12,7412.89,21-09-2024,25-03-2024,placed,not paid,cod,4464d5d7-e425-4584-92d8-6ee85786435c
2,8a326287-f71d-468a-984f-616fc2847ef1,55,9827.65,731.11,10571.58,422.16,6387.38,30-09-2024,19-05-2024,placed,not paid,upi,4d54c354-7ca4-4682-8de7-48f9a890227c
3,ac97615c-d126-4e0d-a202-05cc2eab46bf,40,3229.15,152.11,7663.09,387.64,2770.47,18-09-2024,12-06-2024,processing,paid,netbanking,47176603-52f8-46ab-9aa6-3d6ec17df535
4,7be0b601-77e4-4199-a17f-88b0581b988f,155,2635.59,16.35,7386.1,309.71,4977.23,11-08-2024,27-09-2024,delivered,not paid,netbanking,085ddc0b-740f-49d8-8fd4-fc439a8118aa
5,903a4e55-977a-42de-bb5e-d0b35debacc5,299,3719.62,1531.91,4609.41,432,7516.32,26-08-2024,07-10-2024,shipping,paid,netbanking,765a522d-ca7d-423a-9ec1-3f506a1fba62
6,c0a51188-ca89-4f5a-9a73-f185b6df950d,971,9905.59,1696.8,7093.04,123.94,3219.88,22-09-2024,29-04-2024,placed,paid,netbanking,d22476b8-ef9f-43b4-9798-4ca14e9f2297
7,fa5fa508-1084-4a5a-82af-d29477eb32be,70,9008.56,781.86,9888.12,414.49,1100.85,29-04-2024,06-10-2024,placed,paid,cod,ade06298-5492-47c1-83f8-a6be26fb0c66
8,9bf13ad4-0746-4b49-a799-d1d5e4f8b9b6,342,9289.43,1591.28,10005.08,403.67,2838.78,04-09-2024,23-08-2024,placed,not paid,upi,91b6baa7-41e4-4f55-86cc-d3cb7f6dc130
9,f9b4fd8d-b755-4d94-9db6-cdf863b7de39,520,1264.67,367.35,11751.89,293.53,2201.85,05-03-2024,15-08-2024,delivered,not paid,upi,ec1665a6-3b24-4b1b-b318-adec2238288d
10,0e4c5d6d-eba6-4d6e-a4e5-7b61ac034a30,484,8749.52,1558.03,2530.31,127.82,4285.05,14-07-2024,22-04-2024,shipping,paid,upi,afed2a34-8c5a-4362-a175-53ca864488bb
